citation,document_number,end_page,html_url,pdf_url,type,subtype,publication_date,signing_date,start_page,title,disposition_notes,executive_order_number
85 FR 18403, 2020-06969,18405,https://www.federalregister.gov/documents/2020/04/01/2020-06969/delegating-additional-authority-under-the-defense-production-act-with-respect-to-health-and-medical,https://www.govinfo.gov/content/pkg/FR-2020-04-01/pdf/2020-06969.pdf,Presidential Document,Executive Order,04/01/2020,03/27/2020,18403,Delegating Additional Authority Under the Defense Production Act With Respect to Health and Medical Resources To Respond to the Spread of COVID-19,"See: EO 13603, March 16, 2012; EO 13909, March 18, 2020; EO 13910, March 23, 2020",13911
85 FR 18407, 2020-06985,18408,https://www.federalregister.gov/documents/2020/04/01/2020-06985/national-emergency-authority-to-order-the-selected-reserve-and-certain-members-of-the-individual,https://www.govinfo.gov/content/pkg/FR-2020-04-01/pdf/2020-06985.pdf,Presidential Document,Executive Order,04/01/2020,03/27/2020,18407,National Emergency Authority To Order the Selected Reserve and Certain Members of the Individual Ready Reserve of the Armed Forces to Active Duty,"",13912
85 FR 17001, 2020-06478,17002,https://www.federalregister.gov/documents/2020/03/26/2020-06478/preventing-hoarding-of-health-and-medical-resources-to-respond-to-the-spread-of-covid-19,https://www.govinfo.gov/content/pkg/FR-2020-03-26/pdf/2020-06478.pdf,Presidential Document,Executive Order,03/26/2020,03/23/2020,17001,Preventing Hoarding of Health and Medical Resources To Respond to the Spread of COVID-19,"See: EO 13909, March 18, 2020",13910
85 FR 16227, 2020-06161,16228,https://www.federalregister.gov/documents/2020/03/23/2020-06161/prioritizing-and-allocating-health-and-medical-resources-to-respond-to-the-spread-of-covid-19,https://www.govinfo.gov/content/pkg/FR-2020-03-23/pdf/2020-06161.pdf,Presidential Document,Executive Order,03/23/2020,03/18/2020,16227,Prioritizing and Allocating Health and Medical Resources to Respond to the Spread of COVID-19,"See: EO 13603, March 16, 2012",13909
85 FR 12983, 2020-04755,12984,https://www.federalregister.gov/documents/2020/03/06/2020-04755/establishment-of-the-interagency-committee-on-trade-in-automotive-goods-under-section-202a-of-the,https://www.govinfo.gov/content/pkg/FR-2020-03-06/pdf/2020-04755.pdf,Presidential Document,Executive Order,03/06/2020,02/28/2020,12983,Establishment of the Interagency Committee on Trade in Automotive Goods Under Section 202A of the United States Mexico Canada Agreement Implementation Act,"",13908
85 FR 12977, 2020-04730,12978,https://www.federalregister.gov/documents/2020/03/05/2020-04730/establishment-of-the-interagency-environment-committee-for-monitoring-and-enforcement-under-section,https://www.govinfo.gov/content/pkg/FR-2020-03-05/pdf/2020-04730.pdf,Presidential Document,Executive Order,03/05/2020,02/28/2020,12977,Establishment of the Interagency Environment Committee for Monitoring and Enforcement Under Section 811 of the United States-Mexico-Canada Agreement Implementation Act,"",13907
85 FR 10031, 2020-03556,10032,https://www.federalregister.gov/documents/2020/02/20/2020-03556/amending-executive-order-13803reviving-the-national-space-council,https://www.govinfo.gov/content/pkg/FR-2020-02-20/pdf/2020-03556.pdf,Presidential Document,Executive Order,02/20/2020,02/13/2020,10031,Amending Executive Order 13803Reviving the National Space Council,"Amends: EO 13803, June 30, 2017",13906
85 FR 9359, 2020-03337,9361,https://www.federalregister.gov/documents/2020/02/18/2020-03337/strengthening-national-resilience-through-responsible-use-of-positioning-navigation-and-timing,https://www.govinfo.gov/content/pkg/FR-2020-02-18/pdf/2020-03337.pdf,Presidential Document,Executive Order,02/18/2020,02/12/2020,9359,"Strengthening National Resilience Through Responsible Use of Positioning, Navigation, and Timing Services","",13905
85 FR 6721, 2020-02438,6723,https://www.federalregister.gov/documents/2020/02/05/2020-02438/combating-human-trafficking-and-online-child-exploitation-in-the-united-states,https://www.govinfo.gov/content/pkg/FR-2020-02-05/pdf/2020-02438.pdf,Presidential Document,Executive Order,02/05/2020,01/31/2020,6721,Combating Human Trafficking and Online Child Exploitation in the United States,"See: EO 13898, November 26, 2019",13903
85 FR 6725, 2020-02439,6729,https://www.federalregister.gov/documents/2020/02/05/2020-02439/ensuring-safe-and-lawful-e-commerce-for-united-states-consumers-businesses-government-supply-chains,https://www.govinfo.gov/content/pkg/FR-2020-02-05/pdf/2020-02439.pdf,Presidential Document,Executive Order,02/05/2020,01/31/2020,6725,"Ensuring Safe and Lawful E-Commerce for United States Consumers, Businesses, Government Supply Chains, and Intellectual Property Rights Holders","See: EO 12549, February 18, 1986",13904
85 FR 2003, 2020-00534,2006,https://www.federalregister.gov/documents/2020/01/14/2020-00534/imposing-sanctions-with-respect-to-additional-sectors-of-iran,https://www.govinfo.gov/content/pkg/FR-2020-01-14/pdf/2020-00534.pdf,Presidential Document,Executive Order,01/14/2020,01/10/2020,2003,Imposing Sanctions With Respect to Additional Sectors of Iran,"See: EO 12957, March 15, 1995",13902
84 FR 72213, 2019-28286,72225,https://www.federalregister.gov/documents/2019/12/30/2019-28286/adjustments-of-certain-rates-of-pay,https://www.govinfo.gov/content/pkg/FR-2019-12-30/pdf/2019-28286.pdf,Presidential Document,Executive Order,12/30/2019,12/26/2019,72213,Adjustments of Certain Rates of Pay,"Supersedes:  EO 13866, March 28, 2019",13901
84 FR 69983, 2019-27678,69984,https://www.federalregister.gov/documents/2019/12/20/2019-27678/providing-for-the-closing-of-executive-departments-and-agencies-of-the-federal-government-on,https://www.govinfo.gov/content/pkg/FR-2019-12-20/pdf/2019-27678.pdf,Presidential Document,Executive Order,12/20/2019,12/17/2019,69983,"Providing for the Closing of Executive Departments and Agencies of the Federal Government on December 24, 2019","",""
84 FR 68779, 2019-27217,68780,https://www.federalregister.gov/documents/2019/12/16/2019-27217/combating-anti-semitism,https://www.govinfo.gov/content/pkg/FR-2019-12-16/pdf/2019-27217.pdf,Presidential Document,Executive Order,12/16/2019,12/11/2019,68779,Combating Anti-Semitism,"",13899
84 FR 66059, 2019-26178,66061,https://www.federalregister.gov/documents/2019/12/02/2019-26178/establishing-the-task-force-on-missing-and-murdered-american-indians-and-alaska-natives,https://www.govinfo.gov/content/pkg/FR-2019-12-02/pdf/2019-26178.pdf,Presidential Document,Executive Order,12/02/2019,11/26/2019,66059,Establishing the Task Force on Missing and Murdered American Indians and Alaska Natives,"",13898
84 FR 59709, 2019-24288,59710,https://www.federalregister.gov/documents/2019/11/05/2019-24288/improving-federal-contractor-operations-by-revoking-executive-order-13495,https://www.govinfo.gov/content/pkg/FR-2019-11-05/pdf/2019-24288.pdf,Presidential Document,Executive Order,11/05/2019,10/31/2019,59709,Improving Federal Contractor Operations by Revoking Executive Order 13495,"Revokes : EO 13495, January 30, 2009",13897
